iteration,classifier,accuracy,sensitivity,specificity,config,best_classifier
6,Neural Net,0.703125,0.5434782608695652,0.7534246575342466,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,AdaBoost,0.7447916666666666,0.6304347826086957,0.7808219178082192,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,Naive Bayes,0.6458333333333334,0.6739130434782609,0.636986301369863,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,QDA,0.6770833333333334,0.6956521739130435,0.6712328767123288,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
7,Nearest Neighbors,0.6822916666666666,0.5434782608695652,0.726027397260274,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,Linear SVM,0.6979166666666666,0.5434782608695652,0.7465753424657534,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,RBF SVM,0.7604166666666666,0.0,1.0,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,Gaussian Process,0.75,0.391304347826087,0.863013698630137,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,Decision Tree,0.6145833333333334,0.5869565217391305,0.6232876712328768,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,Random Forest,0.7552083333333334,0.5,0.8356164383561644,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,Neural Net,0.75,0.43478260869565216,0.8493150684931506,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,AdaBoost,0.7604166666666666,0.5217391304347826,0.8356164383561644,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,Naive Bayes,0.6875,0.5,0.7465753424657534,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
7,QDA,0.71875,0.2391304347826087,0.8698630136986302,"{'mfcc': {'n_mfcc': 20}, 'chroma': {'n_chroma': 12}, 'spectral_centroid': {}, 'spectral_bandwidth': {}}",RBF SVM
